;Tubothalamea_Miliolida_Alveolinidae_Alveolinella_quoyi;Tubothalamea_Miliolida_Soritidae_Amphisorus_spp.;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lessonii;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lessonii_NBCLAB5174;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lobifera;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_papillosa_Ambon;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_papillosa_Spermonde;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_radiata;Monothalamea_Xenophyophoroidea_Syringamminidae_Aschemonella_monile;Monothalamea_Xenophyophoroidea_???_Bizarria_bryiformis;Globothalamea_Rotaliida_Bolivinitidae_Bolivina_spp.;Tubothalamea_Miliolida_Alveolinidae_Borelis_schlumbergeri;Globothalamea_Rotaliida_Trichohyalidae_Buccella_frigida;Globothalamea_Rotaliida_Trichohyalidae_Buccella_peruviana;Globothalamea_Rotaliida_Calcarinidae_Calcarina_gaudichaudii;Globothalamea_Rotaliida_Calcarinidae_Calcarina_hispida_Spermonde;Globothalamea_Rotaliida_Calcarinidae_Calcarina_hispida_Ambon_&_Calcarina_spengleri;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._NBCLAB5164;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._NBCLAB5165;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._Spermonde;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._Sumba;Globothalamea_Rotaliida_Cassidulinidae_Cassidulinoides_parkerianus;Globothalamea_Rotaliida_Cibicididae_Cibicidoides_lobatulus;Globothalamea_Rotaliida_Cibicididae_Cibicidoides_wuellerstorfi;Globothalamea_Rotaliida_Notorotaliidae_Cribrorotalia_sp.;Globothalamea_Lituolida_Ammosphaeroidinidae_Cribrostomoides;Globothalamea_Textulariida_???_Cyrea_szymborska;Globothalamea_Rotaliida_Rosalinidae_Discanomalina_coronata;Globothalamea_Lituolida_Prolixoplectidae_Eggerelloides_scaber;Globothalamea_Rotaliida_Elphidiidae_Elphidium_williamsoni;Globothalamea_Lituolida_Trochamminidae_Entzia_macrescens;Globothalamea_Rotaliida_Pseudoparrellidae_Epistominella_exigua;Globothalamea_Rotaliida_Glabratellidae_Glabratella_sp.;Globothalamea_Rotaliida_Glabratellidae_Glabratellina_sp._&_Planoglabratella_opercularis_&_Planoglabratella_sp.;Globothalamea_Rotaliida_Globobuliminidae_Globobulimina_sp.;Globothalamea_Rotaliida_Cassidulinidae_Globocassidulina_biora;Globothalamea_Rotaliida_Haynesinidae_Haynesina_germanica;Globothalamea_Rotaliida_Nummulitidae_Heterostegina_depressa;Globothalamea_Rotaliida_Nummulitidae_Heterostegina_depressa_sp1;Globothalamea_Rotaliida_Nummulitidae_Heterostegina_depressa_sp2;Monothalamea_Group_3_Lacogromiidae_Lacogromia_cassipara;Tubothalamea_Miliolida_Soritidae_Marginopora_vertebralis;Monothalamea_Allogromiida_Allogromiidea_Micrometula_sp.;Globothalamea_Rotaliida_Murrayinellidae_Murayinella_globosa;Globothalamea_Rotaliida_Nummulitidae_Neoassilina_ammonoides;Globothalamea_Rotaliida_Calcarinidae_Neorotalia_calcar;Globothalamea_Rotaliida_Calcarinidae_Neorotalia_gaimardi_&_Baculoglypsina_sphaerulata;Globothalamea_Rotaliida_Notorotaliidae_Notorotalia_finlayi;Globothalamea_Rotaliida_Nummulitidae_Nummulites_venosus;Globothalamea_Rotaliida_Nummulitidae_Operculina_ammonoides;Globothalamea_Rotaliida_Nummulitidae_Operculina_complanata;Globothalamea_Rotaliida_Nummulitidae_Operculina_heterosteginoides;Globothalamea_Rotaliida_Nummulitidae_Operculina_sp.;Globothalamea_Rotaliida_Nummulitidae_Operculinella_cumingii;Globothalamea_Rotaliida_Globigerinidae_Orbulina_universa;Globothalamea_Rotaliida_Alabaminidae_Oridorsalis_umbonatus;Tubothalamea_Miliolida_Soritidae_Parasorites_sp.;Tubothalamea_Miliolida_Peneroplidae_Peneroplis_sp1;Tubothalamea_Miliolida_Peneroplidae_Peneroplis_sp2_&_Peneroplis_pertusus_&_Dendritina_ambigua;Globothalamea_Rotaliida_Nummulitidae_Planostegina_operculinides;Monothalamea_Xenophyophoroidea_Psamminidae_Psammina_limbata;Monothalamea_Astrorhizida_Saccamminidae_Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2;Monothalamea_Astrorhizida_Saccamminidae_Psammophaga_sp1_19298;Globothalamea_Rotaliida_Pulleniidae_Pullenia_subcarinata;Globothalamea_Rotaliida_Rosalinidae_Rosalina_sp._14698;Globothalamea_Rotaliida_Rosalinidae_Rosalina_sp._17595;Tubothalamea_Miliolida_Soritidae_Sorites_sp1;Tubothalamea_Miliolida_Soritidae_Sorites_sp2;Globothalamea_Lituolida_Spiroplectamminidae_Spiroplectammina_sp.;Globothalamea_Rotaliida_Stainforthiidae_Stainforthia_sp.;Globothalamea_Textulariida_Textulariidae_Texturalia_gramen;Globothalamea_Rotaliida_Uvigerinidae_Trifarina_earlandi_&_Uvigerina_bifurcata;Globothalamea_Lituolida_Trochamminidae_Trochammina_hadai
Globothalamea_Rotaliida_Nummulitidae_Operculina_complanata;67.802;67.802;88.235;88.545;88.854;89.164;87.307;88.235;68.387;65.484;89.677;69.04;91.29;90.968;95.975;94.737;96.285;95.666;95.046;93.808;95.161;93.226;90.968;88.71;92.258;81.613;89.677;90.968;90.968;90;87.097;93.226;89.032;88.71;93.226;92.581;93.226;97.742;97.523;96.904;71.935;68.731;71.935;94.839;96.774;95.666;95.975;91.613;99.381;96.285;;97.523;99.69;95.975;94.355;93.871;67.802;68.111;67.802;96.594;71.613;76.452;76.129;87.742;87.742;91.613;68.421;67.802;90.323;93.548;85.806;93.871;90.645
Globothalamea_Rotaliida_Nummulitidae_Operculina_heterosteginoides;68.111;68.111;89.474;89.783;90.093;89.783;87.926;88.854;68.065;65.161;90.645;69.35;92.581;92.258;95.356;94.118;95.666;95.046;94.427;93.189;94.516;93.871;91.935;89.677;93.548;82.581;90.323;92.581;91.613;90.968;88.065;94.194;88.71;88.387;93.871;93.226;93.871;98.387;98.142;97.523;72.581;68.421;71.935;95.484;96.452;95.046;95.356;92.903;98.142;95.975;97.523;;97.214;96.285;94.677;94.839;68.111;68.421;68.111;97.214;71.29;76.452;76.129;89.032;89.355;93.226;68.731;68.111;90.323;94.194;86.452;94.516;92.581
Globothalamea_Rotaliida_Nummulitidae_Operculina_sp.;67.802;67.802;88.235;88.545;88.854;89.164;87.307;88.235;68.71;65.484;89.677;69.04;91.29;90.968;95.666;95.046;95.975;95.666;95.046;93.808;95.161;93.226;90.968;88.71;92.258;81.613;90;91.29;91.29;90;87.097;93.226;89.355;89.032;93.226;92.581;93.226;97.419;97.214;96.904;71.935;68.731;71.935;95.161;96.452;95.975;95.666;91.613;99.071;95.975;99.69;97.214;;95.666;94.355;93.871;67.802;68.111;67.802;96.285;71.935;76.452;76.129;87.742;88.065;91.935;68.421;67.802;90.645;93.548;85.806;93.871;90.968
Globothalamea_Rotaliida_Nummulitidae_Operculinella_cumingii;67.802;67.802;87.616;87.926;88.235;88.545;86.687;87.616;67.419;65.806;89.355;69.04;90;89.677;95.666;94.427;95.356;94.737;94.737;92.879;94.194;91.29;89.677;87.419;90.968;81.613;89.355;90.645;90.645;89.355;87.097;91.29;86.774;86.452;91.29;90.645;91.935;96.452;96.285;95.666;71.935;68.731;71.29;92.903;97.097;94.737;95.046;90.645;96.594;96.594;95.975;96.285;95.666;;92.742;92.258;67.802;68.111;67.802;94.737;71.29;75.161;74.839;86.129;87.742;91.29;68.421;67.802;89.355;91.613;86.129;91.935;90.323
Globothalamea_Rotaliida_Globigerinidae_Orbulina_universa;69.516;69.839;89.839;90.161;90.484;90.806;89.194;90.161;67.785;63.758;93.289;70.806;95.973;95.638;92.097;90.806;92.419;92.419;91.774;90.484;91.611;97.315;95.973;94.295;96.98;83.221;92.282;95.638;94.295;93.624;88.926;97.987;91.946;91.611;97.581;96.644;97.987;94.966;94.677;94.355;72.483;70.484;71.477;95.973;92.617;92.097;92.097;96.309;95;92.742;94.355;94.677;94.355;92.742;;99.329;69.839;70.161;69.839;95;70.805;75.839;75.503;92.282;93.289;95.638;70.484;69.839;93.96;98.322;86.913;97.987;94.631
Globothalamea_Rotaliida_Alabaminidae_Oridorsalis_umbonatus;69.355;68.71;90.323;90.645;90.968;91.29;89.677;90.645;67.097;63.226;93.548;70.645;96.774;96.452;91.613;90.323;91.935;91.935;91.29;90;91.29;97.419;96.774;94.516;97.742;81.935;90.968;94.516;93.548;94.516;87.742;98.71;91.935;91.613;98.322;96.774;98.71;94.516;94.516;94.194;71.935;69.032;71.935;96.129;92.258;91.613;91.613;96.774;94.516;92.581;93.871;94.839;93.871;92.258;99.329;;68.71;69.032;68.71;94.516;70;75.484;75.161;93.226;92.581;95.161;69.355;68.71;92.903;99.032;86.129;98.71;94.516
Tubothalamea_Miliolida_Soritidae_Parasorites_sp.;90.343;96.262;67.183;67.492;67.802;67.183;66.563;67.802;66.452;65.484;69.032;90.966;67.419;67.097;67.802;67.492;67.492;67.183;67.492;66.873;67.097;67.419;66.452;65.161;67.742;70;69.256;70;69.032;66.452;69.355;68.065;69.032;68.71;69.677;68.065;67.419;67.097;67.802;68.421;67.097;94.393;74.194;66.452;68.065;67.802;67.183;68.065;68.111;68.421;67.802;68.111;67.802;67.802;69.839;68.71;;96.885;96.573;67.492;68.71;70;69.677;68.065;64.516;67.742;95.016;96.262;69.677;67.742;70.645;68.71;69.032
Tubothalamea_Miliolida_Peneroplidae_Peneroplis_sp1;91.277;98.754;67.492;67.802;68.111;67.492;66.563;68.111;67.419;66.129;69.355;91.9;67.742;67.419;68.111;68.111;67.802;67.492;68.111;66.873;66.452;68.065;67.097;65.806;68.065;69.677;68.932;70.323;68.71;66.452;70;68.387;69.355;69.032;70;68.71;67.742;67.419;68.111;68.731;67.097;96.262;74.839;66.774;68.387;67.802;67.492;68.387;68.421;68.731;68.111;68.421;68.111;68.111;70.161;69.032;96.885;;99.688;68.111;69.677;70;69.677;68.387;64.839;68.065;96.885;97.819;69.355;68.065;70.323;69.032;68.71
Tubothalamea_Miliolida_Peneroplidae_Peneroplis_sp2_&_Peneroplis_pertusus_&_Dendritina_ambigua;90.966;98.442;67.183;67.492;67.802;67.183;66.254;67.802;67.097;65.806;69.032;91.589;67.419;67.097;67.802;67.802;67.492;67.183;67.802;66.563;66.129;67.742;66.774;65.484;67.742;69.355;68.608;70;68.387;66.129;69.677;68.065;69.032;68.71;69.677;68.387;67.419;67.097;67.802;68.421;66.774;95.95;74.516;66.452;68.065;67.492;67.183;68.065;68.111;68.421;67.802;68.111;67.802;67.802;69.839;68.71;96.573;99.688;;67.802;69.355;69.677;69.355;68.71;64.516;67.742;96.573;97.508;69.032;67.742;70;68.71;68.387
Globothalamea_Rotaliida_Nummulitidae_Planostegina_operculinides;68.421;68.111;88.545;88.235;88.545;89.474;87.616;88.545;67.419;64.516;89.677;69.659;92.258;91.935;94.427;93.189;94.737;94.118;93.498;92.26;93.548;93.548;91.613;89.355;93.226;81.29;89.355;91.613;91.935;90.645;87.097;94.194;88.387;88.065;93.548;92.903;94.194;98.065;97.833;97.214;70.968;68.111;70.645;94.516;95.484;94.118;94.427;92.581;97.214;95.666;96.594;97.214;96.285;94.737;95;94.516;67.492;68.111;67.802;;70.645;74.839;74.516;87.742;88.387;92.258;68.731;68.111;90;93.871;87.419;94.194;91.613
