;Tubothalamea_Miliolida_Alveolinidae_Alveolinella_quoyi;Tubothalamea_Miliolida_Soritidae_Amphisorus_spp.;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lessonii;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lessonii_NBCLAB5174;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_lobifera;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_papillosa_Ambon;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_papillosa_Spermonde;Globothalamea_Rotaliida_Amphisteginidae_Amphistegina_radiata;Monothalamea_Xenophyophoroidea_Syringamminidae_Aschemonella_monile;Monothalamea_Xenophyophoroidea_???_Bizarria_bryiformis;Globothalamea_Rotaliida_Bolivinitidae_Bolivina_spp.;Tubothalamea_Miliolida_Alveolinidae_Borelis_schlumbergeri;Globothalamea_Rotaliida_Trichohyalidae_Buccella_frigida;Globothalamea_Rotaliida_Trichohyalidae_Buccella_peruviana;Globothalamea_Rotaliida_Calcarinidae_Calcarina_gaudichaudii;Globothalamea_Rotaliida_Calcarinidae_Calcarina_hispida_Spermonde;Globothalamea_Rotaliida_Calcarinidae_Calcarina_hispida_Ambon_&_Calcarina_spengleri;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._NBCLAB5164;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._NBCLAB5165;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._Spermonde;Globothalamea_Rotaliida_Calcarinidae_Calcarina_sp._Sumba;Globothalamea_Rotaliida_Cassidulinidae_Cassidulinoides_parkerianus;Globothalamea_Rotaliida_Cibicididae_Cibicidoides_lobatulus;Globothalamea_Rotaliida_Cibicididae_Cibicidoides_wuellerstorfi;Globothalamea_Rotaliida_Notorotaliidae_Cribrorotalia_sp.;Globothalamea_Lituolida_Ammosphaeroidinidae_Cribrostomoides;Globothalamea_Textulariida_???_Cyrea_szymborska;Globothalamea_Rotaliida_Rosalinidae_Discanomalina_coronata;Globothalamea_Lituolida_Prolixoplectidae_Eggerelloides_scaber;Globothalamea_Rotaliida_Elphidiidae_Elphidium_williamsoni;Globothalamea_Lituolida_Trochamminidae_Entzia_macrescens;Globothalamea_Rotaliida_Pseudoparrellidae_Epistominella_exigua;Globothalamea_Rotaliida_Glabratellidae_Glabratella_sp.;Globothalamea_Rotaliida_Glabratellidae_Glabratellina_sp._&_Planoglabratella_opercularis_&_Planoglabratella_sp.;Globothalamea_Rotaliida_Globobuliminidae_Globobulimina_sp.;Globothalamea_Rotaliida_Cassidulinidae_Globocassidulina_biora;Globothalamea_Rotaliida_Haynesinidae_Haynesina_germanica;Globothalamea_Rotaliida_Nummulitidae_Heterostegina_depressa;Globothalamea_Rotaliida_Nummulitidae_Heterostegina_depressa_sp1;Globothalamea_Rotaliida_Nummulitidae_Heterostegina_depressa_sp2;Monothalamea_Group_3_Lacogromiidae_Lacogromia_cassipara;Tubothalamea_Miliolida_Soritidae_Marginopora_vertebralis;Monothalamea_Allogromiida_Allogromiidea_Micrometula_sp.;Globothalamea_Rotaliida_Murrayinellidae_Murayinella_globosa;Globothalamea_Rotaliida_Nummulitidae_Neoassilina_ammonoides;Globothalamea_Rotaliida_Calcarinidae_Neorotalia_calcar;Globothalamea_Rotaliida_Calcarinidae_Neorotalia_gaimardi_&_Baculoglypsina_sphaerulata;Globothalamea_Rotaliida_Notorotaliidae_Notorotalia_finlayi;Globothalamea_Rotaliida_Nummulitidae_Nummulites_venosus;Globothalamea_Rotaliida_Nummulitidae_Operculina_ammonoides;Globothalamea_Rotaliida_Nummulitidae_Operculina_complanata;Globothalamea_Rotaliida_Nummulitidae_Operculina_heterosteginoides;Globothalamea_Rotaliida_Nummulitidae_Operculina_sp.;Globothalamea_Rotaliida_Nummulitidae_Operculinella_cumingii;Globothalamea_Rotaliida_Globigerinidae_Orbulina_universa;Globothalamea_Rotaliida_Alabaminidae_Oridorsalis_umbonatus;Tubothalamea_Miliolida_Soritidae_Parasorites_sp.;Tubothalamea_Miliolida_Peneroplidae_Peneroplis_sp1;Tubothalamea_Miliolida_Peneroplidae_Peneroplis_sp2_&_Peneroplis_pertusus_&_Dendritina_ambigua;Globothalamea_Rotaliida_Nummulitidae_Planostegina_operculinides;Monothalamea_Xenophyophoroidea_Psamminidae_Psammina_limbata;Monothalamea_Astrorhizida_Saccamminidae_Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2;Monothalamea_Astrorhizida_Saccamminidae_Psammophaga_sp1_19298;Globothalamea_Rotaliida_Pulleniidae_Pullenia_subcarinata;Globothalamea_Rotaliida_Rosalinidae_Rosalina_sp._14698;Globothalamea_Rotaliida_Rosalinidae_Rosalina_sp._17595;Tubothalamea_Miliolida_Soritidae_Sorites_sp1;Tubothalamea_Miliolida_Soritidae_Sorites_sp2;Globothalamea_Lituolida_Spiroplectamminidae_Spiroplectammina_sp.;Globothalamea_Rotaliida_Stainforthiidae_Stainforthia_sp.;Globothalamea_Textulariida_Textulariidae_Texturalia_gramen;Globothalamea_Rotaliida_Uvigerinidae_Trifarina_earlandi_&_Uvigerina_bifurcata;Globothalamea_Lituolida_Trochamminidae_Trochammina_hadai
Monothalamea_Xenophyophoroidea_Psamminidae_Psammina_limbata;68.71;69.677;68.065;68.387;68.71;69.355;69.032;69.032;92.903;86.774;69.355;68.71;69.355;69.032;72.258;71.613;72.258;71.935;71.935;71.29;72.581;69.355;67.419;65.484;70;72.903;73.548;71.935;71.613;69.355;76.774;69.677;69.032;68.71;69.463;69.032;69.032;71.29;71.29;70.968;75.161;70.323;71.613;70;71.935;72.903;71.935;70.323;71.935;71.29;71.613;71.29;71.935;71.29;70.805;70;68.71;69.677;69.355;70.645;;75.161;74.839;67.419;65.806;70;69.677;69.032;71.29;69.032;74.516;69.677;70.968
Monothalamea_Astrorhizida_Saccamminidae_Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2;68.71;70;74.194;74.516;74.839;73.871;72.903;73.871;72.258;72.258;74.516;69.032;74.194;73.871;75.806;75.484;75.806;75.806;76.129;75.161;77.097;74.516;72.903;70.968;74.516;79.677;79.677;76.452;77.742;72.903;80;74.194;73.226;72.903;74.832;73.871;74.194;75.484;75.484;75.161;83.226;69.355;80.323;74.839;76.129;76.129;75.484;74.194;76.129;75.484;76.452;76.452;76.452;75.161;75.839;75.484;70;70;69.677;74.839;75.161;;99.677;70.323;70.645;74.839;70;68.71;78.71;74.516;77.419;74.839;77.419
Monothalamea_Astrorhizida_Saccamminidae_Psammophaga_sp1_19298;68.387;70.323;73.871;74.194;74.516;73.548;72.581;73.548;71.935;71.935;74.194;68.71;73.871;73.548;75.484;75.161;75.484;75.484;75.806;74.839;76.774;74.194;72.581;70.645;74.194;79.355;79.355;76.129;77.419;72.581;79.677;73.871;72.903;72.581;74.497;73.548;73.871;75.161;75.161;74.839;82.903;69.677;80.645;74.516;75.806;75.806;75.161;73.871;75.806;75.161;76.129;76.129;76.129;74.839;75.503;75.161;69.677;69.677;69.355;74.516;74.839;99.677;;70;70.323;74.516;70.323;69.032;78.387;74.194;77.097;74.516;77.097
Globothalamea_Rotaliida_Pulleniidae_Pullenia_subcarinata;69.355;68.065;85.484;85.806;86.129;86.452;84.516;85.484;65.806;60.323;90.645;70;91.29;90.968;85.484;84.194;85.806;85.806;85.161;83.871;85.161;91.29;92.903;91.613;92.258;77.419;86.129;88.387;87.419;89.032;83.871;93.226;89.355;89.032;92.617;91.935;92.581;87.742;87.742;87.419;67.419;68.71;68.387;89.355;86.774;85.484;85.484;91.29;88.387;86.452;87.742;89.032;87.742;86.129;92.282;93.226;68.065;68.387;68.71;87.742;67.419;70.323;70;;88.387;89.032;68.71;68.065;86.774;92.903;80.323;93.226;88.71
Globothalamea_Rotaliida_Rosalinidae_Rosalina_sp._14698;64.516;64.516;85.161;85.484;85.806;85.806;84.194;85.161;64.194;58.387;89.677;65.806;90.968;90.645;87.097;86.129;87.419;87.097;86.452;85.161;86.452;91.613;92.581;92.903;91.935;78.065;86.774;92.258;89.355;88.71;82.258;92.258;88.71;88.387;92.617;90.968;92.258;89.032;89.032;88.71;68.387;65.484;67.419;90.968;87.742;87.419;87.097;90.968;88.387;88.065;87.742;89.355;88.065;87.742;93.289;92.581;64.516;64.839;64.516;88.387;65.806;70.645;70.323;88.387;;95.484;65.161;64.516;88.71;92.581;81.29;92.258;90.323
Globothalamea_Rotaliida_Rosalinidae_Rosalina_sp._17595;67.097;67.742;88.387;88.71;89.032;89.355;87.742;88.71;67.419;62.581;92.903;68.387;93.548;93.226;90.968;90;91.29;90.968;90.323;89.032;90.323;94.839;93.871;91.613;94.516;81.613;90.645;96.774;92.581;91.29;86.129;94.839;90.645;90.323;95.638;94.194;94.839;92.903;92.903;92.581;72.581;68.71;70.645;94.194;91.613;91.29;90.968;93.871;92.258;91.935;91.613;93.226;91.935;91.29;95.638;95.161;67.742;68.065;67.742;92.258;70;74.839;74.516;89.032;95.484;;68.387;67.742;91.935;95.161;84.516;95.484;92.903
Tubothalamea_Miliolida_Soritidae_Sorites_sp1;89.097;98.131;68.111;68.111;68.421;68.111;67.183;68.731;66.774;65.161;69.677;89.72;68.387;68.065;68.421;68.421;68.111;67.802;68.421;66.873;67.097;68.387;67.419;66.129;68.387;70.323;69.256;70;69.032;66.774;70.323;68.71;69.677;69.355;70.323;69.032;68.065;67.742;68.421;68.421;66.129;96.262;74.839;67.097;68.71;68.421;67.802;68.71;68.731;69.04;68.421;68.731;68.421;68.421;70.484;69.355;95.016;96.885;96.573;68.731;69.677;70;70.323;68.71;65.161;68.387;;98.131;69.677;68.387;70.323;69.355;69.032
Tubothalamea_Miliolida_Soritidae_Sorites_sp2;90.031;98.754;67.492;67.492;67.802;67.492;66.873;68.111;67.097;65.484;69.032;90.654;67.419;67.097;67.802;67.802;67.492;67.183;67.802;65.635;65.806;67.742;66.774;65.484;67.742;69.032;68.608;70;68.387;66.129;69.677;68.065;69.032;68.71;69.677;68.387;67.419;67.097;67.802;67.802;66.129;96.885;74.194;66.452;68.065;67.183;67.183;68.065;68.111;68.421;67.802;68.111;67.802;67.802;69.839;68.71;96.262;97.819;97.508;68.111;69.032;68.71;69.032;68.065;64.516;67.742;98.131;;69.032;67.742;69.677;68.71;68.387
Globothalamea_Lituolida_Spiroplectamminidae_Spiroplectammina_sp.;68.387;69.032;86.129;86.452;86.774;87.419;85.806;87.419;68.387;65.806;90.645;69.677;91.613;91.29;90;89.032;90.323;90;89.355;88.065;90;91.29;90.323;88.387;92.258;84.516;94.839;92.258;96.774;89.677;89.032;91.935;89.677;89.355;91.946;90.645;91.935;90.645;90.645;90.323;74.194;69.355;73.548;91.29;90;90.323;90;91.29;90;90.645;90.323;90.323;90.645;89.355;93.96;92.903;69.677;69.355;69.032;90;71.29;78.71;78.387;86.774;88.71;91.935;69.677;69.032;;92.258;87.742;91.935;95.806
Globothalamea_Rotaliida_Stainforthiidae_Stainforthia_sp.;68.387;67.742;90;90.323;90.645;90.645;89.032;90;66.774;63.226;93.871;69.677;97.097;96.774;90.968;89.677;91.29;91.29;90.645;89.355;90.645;97.097;96.774;94.516;98.065;81.29;90.323;93.871;92.903;94.839;86.774;99.032;92.258;91.935;98.658;96.452;99.032;93.871;93.871;93.548;71.29;68.065;72.258;95.806;91.613;90.968;90.968;97.097;94.194;91.935;93.548;94.194;93.548;91.613;98.322;99.032;67.742;68.065;67.742;93.871;69.032;74.516;74.194;92.903;92.581;95.161;68.387;67.742;92.258;;85.484;99.032;93.871
Globothalamea_Textulariida_Textulariidae_Texturalia_gramen;70.968;70.323;81.613;81.935;82.258;82.258;80.645;81.935;69.677;69.677;85.806;71.935;85.806;85.484;87.097;86.129;87.419;87.419;87.419;86.774;88.065;85.161;83.548;81.613;86.129;83.548;87.742;85.484;90.323;84.839;88.387;85.806;82.903;82.581;85.57;84.516;85.806;87.097;87.097;86.774;74.839;70.323;73.871;84.516;86.774;87.742;87.097;85.806;86.129;87.419;85.806;86.452;85.806;86.129;86.913;86.129;70.645;70.323;70;87.419;74.516;77.419;77.097;80.323;81.29;84.516;70.323;69.677;87.742;85.484;;85.806;89.355
Globothalamea_Rotaliida_Uvigerinidae_Trifarina_earlandi_&_Uvigerina_bifurcata;69.355;68.71;90.323;90.645;90.968;90.968;89.355;90.323;66.774;62.903;94.839;70.645;96.774;96.452;91.29;90;91.613;91.613;90.968;89.677;90.968;97.419;97.097;94.839;97.742;81.613;91.29;94.194;93.226;94.516;87.097;98.71;92.581;92.258;99.664;97.419;98.71;94.194;94.194;93.871;71.613;69.032;73.226;96.129;91.935;91.29;91.29;96.774;94.516;92.258;93.871;94.516;93.871;91.935;97.987;98.71;68.71;69.032;68.71;94.194;69.677;74.839;74.516;93.226;92.258;95.484;69.355;68.71;91.935;99.032;85.806;;93.548
Globothalamea_Lituolida_Trochamminidae_Trochammina_hadai;68.71;68.387;88.71;89.032;89.355;89.032;87.419;89.032;68.065;65.484;92.258;70;93.871;93.548;90.968;90;91.29;90.968;90.323;89.032;90.968;92.903;91.935;89.677;94.516;83.871;93.871;93.226;98.387;91.935;89.677;94.516;90.645;90.323;93.289;92.258;94.194;91.613;91.613;91.29;74.194;68.71;71.613;92.903;90.968;91.29;90.968;93.548;90.968;91.613;90.645;92.581;90.968;90.323;94.631;94.516;69.032;68.71;68.387;91.613;70.968;77.419;77.097;88.71;90.323;92.903;69.032;68.387;95.806;93.871;89.355;93.548;
